"X","Title","Series.or.Movie","Genre.shelf.1","Genre.shelf.2","Genre.shelf.3","Genre.shelf.4","Genre.shelf.5","Genre.shelf.6","Genre.shelf.7","Genre.shelf.8","Genre.shelf.9","Genre.shelf.10","Genre.shelf.12","Genre.shelf.13","Tags.shelf.1","Tags.shelf.2","Tags.shelf.3","Tags.shelf.4","Tags.shelf.5","Tags.shelf.6","Tags.shelf.7","Tags.shelf.8","Tags.shelf.9","Tags.shelf.10","Tags.shelf.12","Tags.shelf.13","Tags.shelf.14","Tags.shelf.15","Tags.shelf.16","Tags.shelf.17","Tags.shelf.18","Tags.shelf.19","Tags.shelf.20","Tags.shelf.21","Tags.shelf.22","Tags.shelf.23","Tags.shelf.24","Tags.shelf.25","Tags.shelf.26","Tags.shelf.27","Tags.shelf.28","Tags.shelf.29","Tags.shelf.30","Tags.shelf.31","Tags.shelf.32","Tags.shelf.33","IMDb.Score"
4896,"Dangerous Liaisons","Movie","Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Romantic Dramas","Period Pieces","Critically-acclaimed Dramas","Romantic Favourites","Romantic Films","Academy Award-Winning Films","Steamy Romantic Films","Dramas based on a book","Dramas based on classic literature","Classic Films","Critically-acclaimed Films","Movies Based on Books","US Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6
4920,"The Exorcist","Series","Drama","Horror","Mystery","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,"TV Programmes","TV Horror",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
4922,"Lethal Weapon","Series","Action","Comedy","Crime","Drama","Thriller",NA,NA,NA,NA,NA,NA,NA,"TV Comedies","TV Programmes","TV Action & Adventure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9
4936,"The Visit","Movie","Horror","Mystery","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent Dramas","Independent Films","Dramas","International Movies","Nollywood Films","African Films","International Dramas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2
4937,"Rings","Movie","Drama","Horror","Mystery","Romance",NA,NA,NA,NA,NA,NA,NA,NA,"Horror Films","Supernatural Horror Films","Movies Based on Books",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5
4939,"Fallen","Movie","Drama","Fantasy","Romance","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,"Sci-Fi & Fantasy","Teen Films","Romantic Films","Fantasy","Films Based on Books","Romantic Favourites","US Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4
4980,"Sisters","Movie","Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Comedies","Late Night Comedies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
5005,"Persona","Series","Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TV Dramas","Crime TV Programmes","TV Programmes","Crime TV Dramas","Malaysian Programmes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5
5010,"Naked","Movie","Comedy","Fantasy","Romance",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Romantic Comedies","Comedies","Romantic Films","Wacky Comedies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4
5041,"Hearts in Atlantis","Movie","Drama","Mystery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dramas","Thrillers","Supernatural Thrillers","Supernatural Thrillers","Dramas based on a book","Dramas based on a book","Tearjerkers","20th Century Period Pieces","Tearjerkers","Films Based on Books",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9
5056,"Opening Night","Movie","Comedy","Musical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent Films","Romantic Independent Films","Romantic Comedies","Romantic Films","Independent Comedies","Comedies","Musicals","Music & Musicals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2
5059,"Return to the Blue Lagoon","Movie","Adventure","Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Romantic Films","Action & Adventure","Romantic Films based on a book","Adventures","Dramas","Romantic Dramas","Dramas based on a book","Films Based on Books","US Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2
5071,"The Worst Witch","Series","Family","Fantasy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"British TV Programmes","TV Programmes","Kids TV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3
5097,"Apt Pupil","Movie","Crime","Drama","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dramas based on a book","Thrillers","Dramas","Psychological Thrillers","Films Based on Books","US Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7
5110,"Deep Water","Series","Crime","Drama","Mystery",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crime TV Dramas","TV Thrillers","TV Programmes","TV Dramas","Crime TV Programmes","TV Mysteries","Australian TV Shows","LGBTQ TV Shows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9
5111,"Proof of Life","Movie","Action","Drama","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Romantic Favourites","Crime Films","Romantic Films","Crime Thrillers","Political Thrillers","Thrillers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2
5120,"Breakout","Series","Documentary","History",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TV Programmes","TV Dramas","Singaporean Programmes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9
5132,"The Circle","Movie","Drama","Sci-Fi","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sci-Fi Thrillers","Dramas","Thrillers","Psychological Thrillers","Sci-Fi & Fantasy","Social Issue Dramas","Dramas based on a book","Sci-Fi Dramas","Movies Based on Books",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3
5133,"Gypsy","Series","Drama","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US TV Programmes","TV Dramas","TV Programmes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9
5153,"After the Storm","Movie","Comedy","Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dramas","Japanese Films","Japanese Dramas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4
5167,"Soldier","Movie","Action","Drama","Sci-Fi",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crime Thrillers","Thrillers","Crime Films","Bollywood Movies","Indian Movies","Hindi-Language Movies","International Thrillers","Romantic Dramas","Romantic Comedies","Dramas","Crime Dramas","Romantic Films","Crime Comedies","International Comedies","International Dramas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1
5168,"The Legend of Bhagat Singh","Movie","Action","Biography","Drama","History",NA,NA,NA,NA,NA,NA,NA,NA,"Dramas","Dramas based on real life","Political Dramas","Biographical Dramas","Movies Based on Real Life","Bollywood Movies","Indian Movies","Hindi-Language Movies","Award-winning Dramas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1
5174,"Mother","Movie","Crime","Drama","Mystery","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,"Thrillers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8
5191,"Heidi","Movie","Drama","Family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family Adventures","Films for ages 8 to 10","Children & Family Films","Films based on childrens books","Films for ages 5 to 7","Family Features","German Films","Films Based on Books",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5
5197,"Saint Seiya","Series","Animation","Action","Adventure","Drama","Fantasy","Sci-Fi",NA,NA,NA,NA,NA,NA,"Japanese TV Films","Anime Series","Anime","Anime Sci-Fi & Fantasy","Retro Anime","Anime Action Films","Shounen Anime","TV Shows Based on Manga","Fantasy Anime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5
5203,"Dog Day Afternoon","Movie","Biography","Crime","Drama","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,"Classic Films","Crime Films based on real life","Dramas","Classic Dramas","Academy Award-Winning Films","Critically-acclaimed Dramas","Crime Dramas","Crime Films","Dramas based on real life","Critically-acclaimed Films","Heist Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
5223,"The Visit","Movie","Horror","Mystery","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Horror Films","Comedies","Dark Comedies","Thrillers","Teen Screams","Horror Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2
5239,"Pinocchio","Movie","Animation","Comedy","Family","Fantasy","Musical",NA,NA,NA,NA,NA,NA,NA,"Family Features","Children & Family Films","Family Sci-Fi & Fantasy","Films based on childrens books","Family Adventures","Films for ages 5 to 7","Films for ages 8 to 10","Movies Based on Books","German Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4
5245,"Robinson Crusoe","Movie","Adventure","Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Films for ages 8 to 10","Children & Family Films","Films for ages 5 to 7","Family Comedies","Comedies","Family Adventures","Belgian Movies","Movies Based on Books",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
5248,"Michael","Movie","Comedy","Drama","Fantasy",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Psychological Thrillers","Dramas","Thrillers","Independent Movies","Indian Movies","Hindi-Language Movies","International Thrillers","International Dramas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7
5259,"The Client","Movie","Crime","Drama","Mystery","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,"Courtroom Dramas","Crime Thrillers","Psychological Thrillers","International Thrillers","Mysteries","Asian Movies","Crime Dramas","Dramas","Thrillers","International Dramas","Korean Films",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8
5265,"Torque","Movie","Action","Comedy","Crime",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sports & Fitness","Action Thrillers","Action & Adventure","Sports Films",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1
5277,"The Wishing Tree","Movie","Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Music & Musicals","Musicals","Musicals","Family Dramas","Family Sci-Fi & Fantasy","Children & Family Films","Dramas","Dramas","Kids Music","Kids Music","Hindi-language Films","Bollywood Films",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4
5305,"D.E.B.S.","Movie","Action","Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spoofs & Satires","Comedies","Crime Action & Adventure","Action & Adventure","Action Comedies","Crime Films","Crime Comedies","Spy Action & Adventure","Teen Films","LGBTQ Films",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3
5311,"In the Beginning","Movie","Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"French Films","French Dramas","Dramas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1
5312,"Slam","Movie","Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dramas based on a book","Dramas","Comedies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1
5313,"The Wedding Party","Movie","Action","Comedy","Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,"海外コメディ","ロマンチックコメディ","海外ヒューマンドラマ","ラブロマンス","ヒューマンドラマ","海外ラブロマンス","ロマンチックなヒューマンドラマ","海外映画","コメディ","Nollywood Films","Social Issue Dramas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6
5321,"Bugsy","Movie","Biography","Crime","Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Biographical Dramas","Crime Films","Dramas based on a book","Dramas based on real life","Romantic Dramas","Crime Dramas","Gangster Films","Romantic Films","Academy Award-Winning Films","Dramas","Romantic Films based on a book","Classic Films","Golden Globe Award-winning Films","Movies Based on Real Life","Movies Based on Books","Classic Dramas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8
5356,"Two Brothers","Movie","Adventure","Drama","Family",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family Adventures","Children & Family Films","Films for ages 8 to 10","Animal Tales","Tearjerkers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1
5357,"Trauma","Movie","Horror","Mystery","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dramas","Psychological Thrillers","Supernatural Thrillers","Thrillers","Canadian Films",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9
5360,"Little Women","Movie","Drama","Family","Romance",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Children & Family Films","Family Features","Family Dramas","Dramas based on a book","Dramas","Dramas based on classic literature","Critically Acclaimed Films","Critically Acclaimed Dramas","Tearjerkers","Movies Based on Books","Family Cozy Time","US Movies","Historical Dramas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3
5361,"It Could Happen to You","Movie","Comedy","Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Romantic Films","Comedies","Romantic Comedies","Romantic Favourites",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4
5362,"First Knight","Movie","Action","Adventure","Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA,"Dramas","Romantic Favourites","Period Pieces","Romantic Films","Romantic Dramas","US Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
5374,"Fear Dot Com","Movie","Crime","Horror","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Horror Films","Slasher and Serial Killer Films","Crime Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4
5375,"In the Cut","Movie","Mystery","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mysteries","Thrillers","Crime Films","Crime Thrillers","Psychological Thrillers","Films Based on Books",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3
5377,"The Natural","Movie","Drama","Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sports Dramas","Sports Films","Dramas based on contemporary literature","Dramas based on a book","Dramas","Films Based on Books","Social Issue Dramas","Historical Dramas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5
5378,"Under Suspicion","Movie","Crime","Drama","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crime Films","Thrillers","Crime Thrillers","Mysteries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5
5380,"Half Past Dead","Movie","Action","Crime","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crime Action & Adventure","Heist Films","Action & Adventure","Action Thrillers","Crime Films","Police Action & Adventure","Police Movies","Action",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7
5381,"Blue Thunder","Movie","Action","Crime","Drama","Sci-Fi","Thriller",NA,NA,NA,NA,NA,NA,NA,"Action & Adventure","Crime Films","Action Thrillers","Blockbuster Action & Adventure","Crime Action & Adventure","Police Action & Adventure","Police Movies","Crime Action","Action Movies","US Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4
5382,"The Quick and the Dead","Movie","Action","Romance","Thriller","Western",NA,NA,NA,NA,NA,NA,NA,NA,"Action & Adventure","Action Thrillers","Westerns","Action",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4
5383,"The Remains of the Day","Movie","Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dramas","Romantic Films","Romantic Films based on a book","Award-winning Movies","Classic Films","Romantic Favourites","Romantic Dramas","Classic Dramas","Dramas based on a book","Dramas based on contemporary literature","British Movies","20th-Century Period Pieces","Historical Dramas","Award-winning Dramas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8
5386,"The Professionals","Movie","Action","Adventure","Western",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Action & Adventure","Classic Films",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3
5387,"Short Circuit 2","Movie","Comedy","Drama","Family","Sci-Fi",NA,NA,NA,NA,NA,NA,NA,NA,"Comedies","Family Features","Children & Family Films","Sci-Fi & Fantasy","Family Sci-Fi & Fantasy","Family Comedies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8
5405,"Howards End","Movie","Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Romantic Independent Films","Dramas","Dramas based on a book","Dramas based on classic literature","Independent Dramas","Romantic Favourites","Independent Films","20th Century Period Pieces","British Films","Romantic Films","British Dramas","Social Issue Dramas","Films Based on Books","Romantic British Films","Classic Dramas","Classic Romantic Films","Classic Films","Classic British Films",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4
5427,"Police Academy 2: Their First Assignment","Movie","Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Blockbuster Action & Adventure","Crime Films","Action Comedies","Action & Adventure","Wacky Comedies","Blockbuster Comedies","Crime Action & Adventure","Slapstick Comedies","Comedies","Crime Comedies","Police Detective Movies","Police Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8
5457,"The Bodyguard","Movie","Action","Drama","Music","Romance","Thriller",NA,NA,NA,NA,NA,NA,NA,"International Movies","Gangster Films","Action Thrillers","Chinese Films","International Action & Adventure","Action & Adventure","Crime Action & Adventure","Martial Arts Films","Asian Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3
5474,"Jason X","Movie","Action","Horror","Sci-Fi","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,"Slasher and Serial Killer Films","Sci-Fi Horror Films","Cult Horror Films","Sci-Fi & Fantasy","Cult Sci-Fi & Fantasy","Supernatural Horror Films","Creature Features","Horror Films","Monster Films",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4
5533,"Manhattan Murder Mystery","Movie","Comedy","Mystery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent Comedies","Comedies","Independent Films","Mysteries","Dark Comedies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3
5541,"City of Angels","Movie","Drama","Fantasy","Romance",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Romantic Favourites","Romantic Films","Tearjerkers","Romantic Dramas","Dramas","Sci-Fi & Fantasy","Fantasy Movies","US Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7
5554,"The People vs. Larry Flynt","Movie","Biography","Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dramas","20th Century Period Pieces","Courtroom Dramas","Biographical Dramas","Dramas based on real life","Movies Based on Real Life",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3
5561,"Cellular","Movie","Action","Crime","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Action & Adventure","Crime Action & Adventure","Action Thrillers","Crime Films",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5
5567,"Blood","Series","Drama","Horror",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"International TV Shows","Romantic International TV Shows","Asian TV Shows","International TV Dramas","International TV Thrillers & Mysteries","Korean TV Programmes","TV Thrillers","Fantasy TV Shows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9
5570,"The Wraith","Movie","Action","Horror","Romance","Sci-Fi","Thriller",NA,NA,NA,NA,NA,NA,NA,"Supernatural Horror Films","Sci-Fi & Fantasy","Sci-Fi Thrillers","Horror Films","Action Sci-Fi & Fantasy","Action & Adventure","Sci-Fi Horror Films","Action Thrillers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
5580,"The Innocents","Movie","Drama","History",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"French Films","International Dramas","International Movies","Dramas","Crime Dramas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3
5583,"Midnight Express","Movie","Biography","Crime","Drama","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,"Crime Dramas","Biographical Dramas","Classic Dramas","Dramas","Classic Films","Dramas based on real life","Films Based on Real Life","Films Based on Books","British Films","Crime Films",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6
5595,"Roxanne","Movie","Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Romantic Films","Comedies","Romantic Comedies","Romantic Favourites","Classic Romantic Films","Classic Films","Classic Comedies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6
5598,"Genius","Movie","Biography","Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dramas based on a book","Dramas","British Films","Films Based on Real Life","Films Based on Books",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6
5602,"Superman IV: The Quest for Peace","Movie","Action","Adventure","Sci-Fi",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Action Thrillers","Comic Book and Superhero Films","Action & Adventure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7
5603,"Menace II Society","Movie","Crime","Drama","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crime Films","Dramas","Crime Dramas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5
5615,"I Know What You Did Last Summer","Movie","Horror","Mystery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Horror Films","Mysteries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7
