"X","Title","Series.or.Movie","Genre.shelf.1","Genre.shelf.2","Genre.shelf.3","Genre.shelf.4","Genre.shelf.5","Genre.shelf.6","Genre.shelf.7","Genre.shelf.8","Genre.shelf.9","Genre.shelf.10","Genre.shelf.12","Genre.shelf.13","Tags.shelf.1","Tags.shelf.2","Tags.shelf.3","Tags.shelf.4","Tags.shelf.5","Tags.shelf.6","Tags.shelf.7","Tags.shelf.8","Tags.shelf.9","Tags.shelf.10","Tags.shelf.12","Tags.shelf.13","Tags.shelf.14","Tags.shelf.15","Tags.shelf.16","Tags.shelf.17","Tags.shelf.18","Tags.shelf.19","Tags.shelf.20","Tags.shelf.21","Tags.shelf.22","Tags.shelf.23","Tags.shelf.24","Tags.shelf.25","Tags.shelf.26","Tags.shelf.27","Tags.shelf.28","Tags.shelf.29","Tags.shelf.30","Tags.shelf.31","Tags.shelf.32","Tags.shelf.33","IMDb.Score"
8021,"Beverly Hills Cop","Movie","Action","Comedy","Crime","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,"Action Comedies","Comedies","Action & Adventure","Crime Action & Adventure","Crime Comedies","Crime Movies","Classic Movies","Classic Comedies","Classic Action & Adventure","Police Action & Adventure","US Movies","Classic International Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3
8026,"Bridget Jones: The Edge of Reason","Movie","Comedy","Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Romantic Comedies","British Films","Comedies","Romantic Films","Movies Based on Books","Romantic Favorites","British Comedies","Romantic British Films",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
8028,"Bloodsport","Movie","Action","Biography","Drama","Sport",NA,NA,NA,NA,NA,NA,NA,NA,"Action Thrillers","Action & Adventure","Martial Arts Films","Sports Films","Films Based on Real Life",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8
8032,"Braveheart","Movie","Biography","Drama","History","War",NA,NA,NA,NA,NA,NA,NA,NA,"Dramas","Military Dramas","Military Action & Adventure","Political Dramas","Period Pieces","Epics","Tearjerkers","Adventures","Action & Adventure","Dramas based on real life","Social Issue Dramas","US Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3
8034,"Oldboy","Movie","Action","Drama","Mystery","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,"Thrillers","Crime Thrillers","Mysteries","Psychological Thrillers","Mind Game Thrillers","Crime Films",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7
8049,"Autumn in New York","Movie","Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dramas","Romantic Dramas","Tearjerkers","Romantic Films",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7
8052,"Fullmetal Alchemist","Series","Animation","Action","Adventure","Comedy","Drama","Fantasy","Sci-Fi",NA,NA,NA,NA,NA,"Anime","Anime Dramas","Anime Sci-Fi Films","TV Programmes","Anime Series","Anime Action Films","Japanese TV Shows","Sci-Fi & Fantasy Anime","TV Shows Based on Manga","Fantasy Anime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5
8054,"Along Came Polly","Movie","Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Romantic Favourites","Romantic Comedies","Comedies","Romantic Films","US Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
8058,"Are We There Yet?","Movie","Adventure","Comedy","Family","Fantasy","Romance",NA,NA,NA,NA,NA,NA,NA,"Family Features","Slapstick Comedies","Family Comedies","Children & Family Films","Comedies","Films for ages 11 to 12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7
8069,"The Fifth Element","Movie","Action","Adventure","Sci-Fi",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Action & Adventure","Sci-Fi & Fantasy","Action Sci-Fi & Fantasy","Alien Sci-Fi","Sci-Fi Adventure","Adventures","Futuristic Sci-Fi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7
8071,"Another 48 Hrs.","Movie","Action","Comedy","Crime","Drama","Mystery","Thriller",NA,NA,NA,NA,NA,NA,"Action Comedies","Comedies","Late Night Comedies","Action & Adventure","Crime Action & Adventure","Dark Comedies","Crime Comedies","Crime Films","Blockbuster Action & Adventure","US Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9
8072,"Beverly Hills Cop III","Movie","Action","Comedy","Crime","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,"Action Comedies","Comedies","Action & Adventure","Crime Action & Adventure","Crime Comedies","Crime Movies","US Movies","Police Detective Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6
8076,"Project A 2","Movie","Action","Comedy","Crime",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Political Comedies","International Action & Adventure","Asian Action Films","Action Comedies","Comedies","International Comedies","International Movies","Martial Arts Films","Action & Adventure","Crime Action & Adventure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1
8082,"Crocodile Dundee 2","Movie","Action","Adventure","Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Action Comedies","Comedies","Action & Adventure","Adventures","Australian Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7
8083,"Beverly Hills Cop II","Movie","Action","Comedy","Crime","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,"Action Comedies","Comedies","Action & Adventure","Crime Comedies","Crime Movies","Crime Action & Adventure","US Movies","Police Action & Adventure","Police Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5
8084,"Grease 2","Movie","Comedy","Drama","Musical","Romance",NA,NA,NA,NA,NA,NA,NA,NA,"Romantic Comedies","Camp Films","Comedies","Musicals","Romantic Films","US Movies","Teen Films","Children & Family Films","Family Comedies","Music & Musicals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4
8095,"Edge of Seventeen","Movie","Comedy","Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent Dramas","Dramas","Independent Films","Gay & Lesbian Films","Gay & Lesbian Dramas","Independent Comedies","Gay & Lesbian Comedies","Comedies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8
8098,"Naked Gun 33 1/3: The Final Insult","Movie","Comedy","Crime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spoofs & Satires","Comedies","Late Night Comedies","Crime Comedies","Raunchy Comedies","Slapstick Comedies","Absurd Comedies","Crime Movies","Police Movies","Laugh-Out-Loud Comedies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5
8108,"The Cat Returns","Movie","Animation","Adventure","Comedy","Family","Fantasy","Romance",NA,NA,NA,NA,NA,NA,"Anime","Animal Tales","Family Sci-Fi & Fantasy","Anime Fantasies","Family Adventures","Children & Family Films","Anime Feature Films","Japanese Films",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2
8112,"Rurouni Kenshin","Movie","Action","Adventure","Drama","History",NA,NA,NA,NA,NA,NA,NA,NA,"Japanese Films","Gangster Films","International Movies","International Action & Adventure","Asian Movies","Action & Adventure","Crime Action & Adventure","Crime Films","Asian Action Films",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5
8116,"My Big Fat Greek Wedding","Movie","Comedy","Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent Films","Romantic Independent Films","Romantic Comedies","Independent Comedies","Comedies","Romantic Films","Romantic Favorites","US Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6
8117,"Flawless","Movie","Comedy","Crime","Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent Dramas","Dramas","Independent Films","Gay & Lesbian Films","Gay & Lesbian Comedies","Comedies","Gay & Lesbian Dramas","Independent Comedies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5
8119,"The Great Escape","Movie","Adventure","Drama","History","Thriller","War",NA,NA,NA,NA,NA,NA,NA,"Classic Films","Dramas","Dramas based on a book","Dramas based on classic literature","Military Dramas","Classic War Films","Classic Dramas","Military Action & Adventure","Classic Action & Adventure","Action & Adventure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2
8123,"Carandiru","Movie","Drama","Crime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dramas","Brazilian Dramas","Brazilian Films","Dramas based on a book","Police Dramas","Dramas based on real life","Police Movies","Crime Dramas","Films Based on Real Life","Latin American Films","Films Based on Books",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6
8128,"A Fistful of Dollars","Movie","Action","Drama","Western",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Westerns","Italian Movies","Action Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
8136,"The Warriors","Movie","Action","Crime","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Action","Action Thrillers","Action & Adventure","Crime Action & Adventure","Movies Based on Books","Crime Movies","Classic Movies","Classic Action & Adventure","US Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6
8140,"Akira","Movie","Animation","Action","Sci-Fi","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,"Sci-Fi & Fantasy","Anime Feature Films","Sci-Fi & Fantasy Anime","Cult Sci-Fi & Fantasy","Anime Action","Action Sci-Fi & Fantasy","Action & Adventure","Japanese Films","Cyberpunk","Action","Futuristic Sci-Fi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
8147,"Sunshine","Movie","Sci-Fi","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thrillers","Sci-Fi & Fantasy","International Movies","Sci-Fi Thrillers","British Films","Adventures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2
